id	year	month	day	deaths	wounded	latitude	longitude	group	text	link
1	1988	12	21	270	0	55.120154	-3.355942	Arabský a islámský terorismus	Vůbec nejhorším teroristickým útokem na evropském území se stalo zřícení letu 73 společnosti Pan Am na skotské městečko Lockerbie. Let z Frankfurtu do Detroitu zničila bomba na palubě, kromě 259 lidí na palubě zahynulo dalších jedenáct lidí, na které se zřítily trosky letadla. Z útoku byl teprve v roce 2001 obviněn a na doživotí odsouzen důstojník libyjských tajných služeb al-Midžráhí. O dva roky potvrdil zapojení své země libyjský diktátor Muammar Kaddáfí. Bombě přitom předcházelo varování: šestnáct dní před útokem anonymní telefonát oznámil na americké velvyslanectví v Helsinkách, že právě let z Frankfurtu do Spojených států se stane v příštích dvou týdnech cílem útoku. O hrozbě se dozvěděly všechny americké letecké linky. Ostraha Pan Am ve Frankfurtu našla vytištěné varování den po útoku založené mezi jinými dokumenty na stole.	https://en.wikipedia.org/wiki/Pan_Am_Flight_103
2	2004	3	11	191	2050	40.416691	-3.700345	Arabský a islámský terorismus	Nejkrvavější pozemní útok se odehrál 3. listopadu 2004 ve Španělsku. Skupina islamistických radikálů odpálila před osmou hodinou ráno deset bomb v madridských vlacích. Zemřelo 191 lidí, zraněných bylo přes dva tisíce. K akci se přihlásila teroristická organizace al-Kaida, ale vyšetřování její roli nepotvrdilo - podle něj šlo o izolovanou teroristickou buňku, která se al-Kaidou pouze inspirovala. Měsíc po incidentu vypátrala španělská policie úkryt útočníků. Ti po přepadení odpálili sebevražednou bombu, čtyři islamisti zemřeli. Pět až osm teroristů policii uniklo. Důvodem pro teroristický útok na Španělsko byl zřejmě fakt, že se země aktivně účastnila invaze do Iráku o rok dříve. Španělsko svoje vojáky z Iráku stáhlo dva měsíce po útocích.	https://en.wikipedia.org/wiki/2004_Madrid_train_bombings
3	1974	9	8	88	0	37.97918	23.716647	Arabský a islámský terorismus	Let 841 společnosti Trans World Airlines z Tel Avivu do New Yorku se stal cílem teroristické bomby 8. září 1974. Bomba vybuchla v zavazadlovém prostoru a poškodila řízení. Letadlo začalo prudce a nekontrolovaně stoupat, dokud nepřišlo o motor. Následně se zřítilo do Jónského moře; zahynulo všech 88 lidí na palubě. K akci se vzápětí přihlásila palestinská mládežnická organizace. Uvedla, že do letadla dostala mladého sebevražedného útočníka s bombou. V roce 2009 tisková agentura AP odhalila nové skutečnosti, které spojují útok s teroristou Al-Džavarím, členem skupiny Černé září a strůjcem útoku na let Pan American 110 z roku 1973.	https://en.wikipedia.org/wiki/TWA_Flight_841_(1974)
4	2011	7	22	77	319	60.023268	10.24768	Extrémní pravice	"Dosud poslední velký teroristický útok se odehrál v Norsku. Osamělý útočník Anders Breivik nejprve odpálil bombu před norským úřadem vlády; ta zabila osm a zranila 209 lidí. Vzápětí se v převleku za policistu dostal na dětský tábor Norské strany práce na ostrově Utøya. Tam zaútočil automatickými zbraněmi a zabil 69 účastníků, hlavně dětí. Breivik byl za útok odsouzen k 21 letům vězení s možností opakovaně prodlužovat trest. Rok před útokem se Breivik pokusil o nákup zbraní v Praze, šlo podle něj o ""hlavní tranzitní místo pro nepovolený prodej drog a zbraní v Evropě"". Zpočátku měl strach o svou bezpečnost, Praha měla být místem s ""mnoha brutálními a cynickými kriminálníky"". Nakonec se zde prý cítil bezpečnějši než v Oslu, ke zbraním se nedostal."	https://en.wikipedia.org/wiki/2011_Norway_attacks
5	1980	8	2	85	200+	44.49419	11.346518	Extrémní pravice	V 10:25 vybuchla bomba na vlakovém nádraží v Bologni. Kufr s 23 kilogramy výbušniny odložili útočníci v klimatizované - na začátku srpna tedy plné - čekárně. Ta se výbuchem zřítila, pod troskami zahynulo 85 lidí. Podezření padlo na některou ultrapravicovou skupinu; cílem neofašistů bylo vyvolat napětí, které mělo přiblížit Itálii jejich cíli, vládě pevné ruky. V rozsáhlých procesech s prvními obviněnými sedm let po výbuchu a definitivním rozsudkem o dvacet roků později, byli za akci na doživotí odsouzeni tři členové neofašistické skupiny Nuclei Armati Rivolucionari. 	https://en.wikipedia.org/wiki/Bologna_massacre
6	1985	11	23	60	27	37.97918	23.716647	Arabský a islámský terorismus	Devět minut po startu letu 648 společnosti EgyptAir z Atén do Káhiry převzali kontrolu tři palestinští únosci, hlásící se k teroristické organizaci Abú Nidal. První terorista přišel o život, když prověřoval pasy cestujících: na palubě byl také ozbrojený agent egyptské bezpečnostní služby. Vzápětí byli nedostatkem paliva donuceni k nouzovému přistání na Maltě. Po dosednutí začali vyjednávat o podmínkách propuštění rukojmí. Aby mu dodali váhu, hned na úvod zastřelili nebo postřelili pět izraelských a arménských rukojmí. Následující den na letadlo chaoticky zaútočila egyptská protiteroristická jednotka. Výsledek: z 87 zbývajících cestujících zemřelo 54 lidí.	https://en.wikipedia.org/wiki/EgyptAir_Flight_648
7	2005	7	7	56	700	51.500152	-0.126236	Arabský a islámský terorismus	Deset minut před devátou hodinou explodovaly v londýnském metru tři bomby, o hodinu později vybuchla čtvrtá v double deckeru. Ve všech čtyřech případech šlo o sebevražedné atentátníky, kromě nich při útocích zahynulo ještě 52 lidí. Tři z útočníků byli synové pákistánských imigrantů v Anglii, čtvrtý jamaský konvertita k islámu. První vyšetřování ukázalo, že jednali na vlastní pěst, pouze se inspirovali al-Kaidou. V roce 2006 ale pákistánské tajné služby odhalily pravděpodobnou spojku mezi sebevraždenými útoky a al-Kaidou - britského občana Rašída Raufa. 	https://en.wikipedia.org/wiki/7_July_2005_London_bombings
8	1970	2	21	47	0	47.36865	8.539182	Arabský a islámský terorismus	Bomba v zavazadlovém prostoru na lince ze švýcarského Zürichu do izraelského Tel Avivu znamenala smrt všech 47 lidí na palubě. Piloti se pokusili o nouzové přistání, ale dým v kabině znemožnil navigaci a letadlo se zřítilo nedaleko města Lucerne. K útoku se okamžitě přihlásila - a později přiznání odvolala - skupina s názvem Lidová fronta pro osvobození Palestiny - hlavní velení. Evropské letecké společnosti několik týdnů po tragédii odmítaly kvůli bezpečnosti letů převážet pytle s poštou pro Izrael.	https://en.wikipedia.org/wiki/Swissair_Flight_330
9	1974	5	17	34	300	53.344104	-6.267494	Konflikt v Severním Irsku	Nejkrvavější útoky severoirského konfliktu se odehrály na území Irska. Útočníci bez varování odpálili tři bomby v Dublinu a jednu v Monaghanu, všechny ukryté v autech. Generální stávka v Dublinu navíc znamenala, že v ulicích bylo víc lidí než obvykle. Útoky si vyžádaly 34 obětí a kolem tří stovek zraněných. Podezření padlo na unionisty, vyšetřování ale nikam nevedlo. Teprve po dvaceti letech se k útoku unionisté z UVF přihlásili. Zároveň tvrdili, že na útoku spolupracovali s britskými bezpečnostními složkami. To naznačilo - ale nepotvrdilo - i nové vyšetřování v roce 2003.	https://en.wikipedia.org/wiki/Dublin_and_Monaghan_bombings
10	1973	12	17	34	22	41.89052	12.494249	Arabský a islámský terorismus	Letiště Leonarda da Vinci v Římě se stalo v prosinci 1973 terčem palestinských radikálů. První skupina ozbrojenců zaútočila na let 110 společnosti Pan American World Airways střelbou a zápalnými granáty, v letadle uhořelo třicet lidí. Druhá skupina vzala osm italských rukojmí plus a zamířila k letadlu německé Lufthansy. Požadovala propuštění dvou vězněných Palestinců. S uneseným letadlem se následně přes několik letišť, které je odmítly přijmout, dostali až do spřáteleného Kuwajtu.	https://en.wikipedia.org/wiki/1973_Rome_airport_attacks_and_hijacking
